texto,clase,tipo,origen,
"En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor. Una olla de algo más vaca que carnero, salpicón las más noches, duelos y quebrantos los sábados, lentejas los viernes, algún palomino de añadidura los domingos, consumían las tres partes de su hacienda. El resto della concluían sayo de velarte, calzas de velludo para las fiestas con sus pantuflos de lo mismo, y los días de entre semana se honraba con su vellorí de lo más fino. Tenía en su casa una ama que pasaba de los cuarenta, y una sobrina que no llegaba a los veinte, y un mozo de campo y plaza, que así ensillaba el rocín como tomaba la podadera. Frisaba la edad de nuestro hidalgo con los cincuenta años; era de complexión recia, seco de carnes, enjuto de rostro, gran madrugador y amigo de la caza.",humano,libro,"Don Quijote de la Mancha, Miguel de Cervantes",
"En el principio creó Dios los cielos y la tierra. Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la faz del abismo, y el Espíritu de Dios se movía sobre la faz de las aguas. Y dijo Dios: Sea la luz; y fue la luz. Y vio Dios que la luz era buena; y separó Dios la luz de las tinieblas. Y llamó Dios a la luz Día, y a las tinieblas llamó Noche. Y fue la tarde y la mañana un día.",humano,libro,La Biblia – Génesis 1:1–5 (Reina-Valera 1960),
"Dos casas, ambas iguales en nobleza, en la hermosa Verona donde se desarrolla esta escena, de antigua enemistad rompen en nuevos conflictos, manchando las manos civiles con sangre civil. De los fatales lomos de estos dos enemigos nacieron dos amantes bajo mala estrella, cuya desventura y trágico final enterrarán la lucha de sus padres con su muerte. El paso temeroso de su amor marcado por el destino y la furia de sus padres, que nada podrá detener excepto la muerte de sus hijos, es lo que ocupará el escenario durante dos horas. Si prestáis atención paciente, nuestra obra procurará compensaros.",humano,libro,"Romeo y Julieta, William Shakespeare",
"Cuando el señor Bilbo Bolsón de Bolsón Cerrado anunció que pronto celebraría su cumpleaños número ciento once con una fiesta especial de magnífica importancia, hubo mucho alboroto en Hobbiton. Bilbo era muy rico y muy peculiar, y había sido el asombro de la Comarca durante sesenta años, desde que desapareció de forma misteriosa y luego regresó con una fortuna. La riqueza no era lo único extraño en él. No envejecía, y seguía tan ágil como un hobbit de la mitad de su edad.",humano,libro,"El Señor de los Anillos: La Comunidad del Anillo, J.R.R. Tolkien",
"En un agujero en el suelo, vivía un hobbit. No un agujero sucio, húmedo, con restos de gusanos y olor a moho, ni tampoco un agujero seco, desnudo y arenoso sin nada en qué sentarse o qué comer: era un agujero-hobbit, y eso significa comodidad. Tenía una puerta perfectamente redonda, pintada de verde, con un pomo dorado en el centro. La puerta se abría hacia un pasillo tubular como un túnel, muy cómodo, sin humo, con paredes revestidas de madera, suelos embaldosados y alfombrados, y muchas perchas para sombreros y abrigos.",humano,libro,"El Hobbit, J.R.R. Tolkien",
"Renée Descartes se sentó frente al fuego, reflexionando sobre la naturaleza de la duda. “Pienso, luego existo”, murmuró. En otro tiempo y lugar, el profesor Robert Langdon cruzaba el patio del museo del Louvre, sin sospechar que aquella noche cambiaría su vida para siempre. El cadáver del conservador Jacques Saunière y un mensaje cifrado serían el inicio de un misterio que arrastraría a Langdon al corazón de secretos milenarios.",humano,libro,"El código Da Vinci, Dan Brown",
"Calisto, en un huerto halló a Melibea, mujer de gran hermosura. Desde aquel momento, su corazón quedó herido de amor sin remedio. Con palabras elevadas trató de conquistarla, mas ella, prudente y recatada, no accedió a sus ruegos. Calisto, desesperado, buscó la ayuda de Celestina, vieja alcahueta experta en tretas amorosas, para alcanzar lo que por medios honestos no había logrado.",humano,libro,"La Celestina, Fernando de Rojas",
"Llamadme Ismael. Hace unos años —no importa cuántos exactamente—, teniendo poco o ningún dinero en el bolsillo, y nada particular que me interesase en tierra, pensé que me iría a navegar un poco y ver la parte acuática del mundo. Es una manera que tengo de echar fuera la melancolía y regular la circulación. Cada vez que me sorprendo poniendo una expresión triste en mi cara; cada vez que el noviembre húmedo y lluvioso se mete en mi alma, entonces considero que es hora de hacerme a la mar lo más pronto posible.",humano,libro,"Moby Dick, Herman Melville",
"El arte de la guerra es de vital importancia para el Estado. Es una cuestión de vida o muerte, un camino hacia la seguridad o hacia la ruina. Por lo tanto, es imperativo estudiarlo con detenimiento. La guerra se basa en el engaño. Cuando estés capacitado para atacar, debes parecer incapaz; cuando uses tus fuerzas, debes parecer inactivo. Si estás cerca del enemigo, hazle creer que estás lejos; si estás lejos, hazle creer que estás cerca.",humano,libro,"El arte de la guerra, Sun Tzu",
"3 de mayo. Bistritz. Dejé Múnich a las 8:35 de la noche, el 1 de mayo, llegando a Viena al amanecer del día siguiente; debí pasar por la aduana, pero como llevaba documentos oficiales no tuve ningún inconveniente. Desayuné en el restaurante del hotel y tomé el tren a las 8:30 de la mañana. Llegué a Klausenburg a las 8:30 de la noche, donde pasé la noche en el Hotel Royale.",humano,libro,"Drácula, Bram Stoker",
