texto,clase,origen
"En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero...",humano,"Don Quijote de la Mancha, Miguel de Cervantes"
En el principio creó Dios los cielos y la tierra. Y la tierra estaba desordenada y vacía...,humano,La Biblia – Génesis 1:1–5 (Reina-Valera 1960)
"Dos casas, ambas iguales en nobleza, en la hermosa Verona donde se desarrolla esta escena...",humano,"Romeo y Julieta, William Shakespeare"
Cuando el señor Bilbo Bolsón de Bolsón Cerrado anunció que pronto celebraría su cumpleaños número ciento once...,humano,"El Señor de los Anillos: La Comunidad del Anillo, J.R.R. Tolkien"
"En un agujero en el suelo, vivía un hobbit. No un agujero sucio, húmedo, con restos de gusanos y olor a moho...",humano,"El Hobbit, J.R.R. Tolkien"
"René Descartes se sentó frente al fuego, reflexionando sobre la naturaleza de la duda, y escribió: 'Cogito, ergo sum'...",humano,"El código Da Vinci, Dan Brown"
"Calisto, en un huerto halló a Melibea, mujer de gran hermosura, y desde aquel momento quedó herido de amor...",humano,"La Celestina, Fernando de Rojas"
Llamadme Ismael. Hace unos años —no importa cuántos exactamente— teniendo poco o ningún dinero en el bolsillo...,humano,"Moby Dick, Herman Melville"
"El arte de la guerra es de vital importancia para el Estado. Es una cuestión de vida o muerte, un camino hacia la seguridad o hacia la ruina...",humano,"El arte de la guerra, Sun Tzu"
"3 de mayo. Bistritz. Dejé Múnich a las 8:35 de la noche, el 1 de mayo, llegando a Viena al amanecer del día siguiente...",humano,"Drácula, Bram Stoker"
