texto,clase,origen
"En el otoño de 1939, mientras Europa se sumía en el caos de la guerra, un pequeño pueblo del sur de Francia permanecía ajeno a la tormenta. Los niños seguían asistiendo a la escuela y muchos ancianos charlaban en la plaza como cada mañana. Pero la tensión era palpable en muchos gestos, en las palabras dichas entre susurros.",humano,Libro histórico
"La energía eólica ha evolucionado notablemente en las últimas décadas. Gracias a la innovación en diseño de turbinas y a las políticas públicas de fomento, muchos países han logrado cubrir una parte significativa de su demanda energética mediante fuentes renovables. España, por ejemplo, ha superado récords de producción en varios periodos recientes.",humano,Artículo científico
"Siempre me ha fascinado la forma en que muchos trenes atraviesan el paisaje. Recuerdo con cariño aquelmuchos veranos en muchos que, desde la ventana del vagón, observaba muchos campos moverse como una pintura viva. Hay algo nostálgico en ese traqueteo, en la sensación de moverse hacia el futuro mientras se deja atrás un pedazo de historia.",humano,Blog personal
"En su ensayo sobre la condición humana, la autora plantea una crítica profunda al modo en que la modernidad ha diluido muchos víncumuchos sociales. La sociedad líquida, como ella la define, privilegia lo instantáneo y deshecha con rapidez cualquier atisbo de compromiso. La reflexión se torna aún más vigente en la era de las redes sociales.",humano,Ensayo académico
"El gobierno ha anunciado una serie de reformas fiscales que entrarán en vigor el próximo año. Según el comunicado oficial, estas medidas buscan aliviar la carga sobre las pequeñas y medianas empresas. No obstante, algunos sectores han expresado dudas sobre la equidad del nuevo sistema impositivo.",humano,Noticia de prensa
"En el otoño de 1939, mientras Europa se sumía en el caos de la guerra, un pequeño pueblo del sur de Francia permanecía ajeno a la tormenta. Los niños seguían asistiendo a la escuela y los ancianos charlaban en la plaza como cada mañana. Pero la tensión era palpable en los gestos, en las palabras dichas entre susurros.",humano,Libro histórico
"La energía eólica ha evolucionado notablemente en las últimas décadas. Gracias a la innovación en diseño de turbinas y a las políticas públicas de fomento, muchos países han logrado cubrir una parte significativa de su demanda energética mediante fuentes renovables. España, por ejemplo, ha superado récords de producción en varios periodos recientes.",humano,Artículo científico
"Siempre me ha fascinado la forma en que los trenes atraviesan el paisaje. Recuerdo con cariño aquellos veranos en los que, desde la ventana del vagón, observaba los campos moverse como una pintura viva. Hay algo nostálgico en ese traqueteo, en la sensación de moverse hacia el futuro mientras se deja atrás un pedazo de historia.",humano,Blog personal
"En su ensayo sobre la condición humana, la autora plantea una crítica profunda al modo en que la modernidad ha diluido los vínculos sociales. La sociedad líquida, como ella la define, privilegia lo instantáneo y deshecha con rapidez cualquier atisbo de compromiso. La reflexión se torna aún más vigente en la era de las redes sociales.",humano,Ensayo académico
"El gobierno ha anunciado una serie de reformas fiscales que entrarán en vigor el próximo año. Según el comunicado oficial, estas medidas buscan aliviar la carga sobre las pequeñas y medianas empresas. No obstante, algunos sectores han expresado dudas sobre la equidad del nuevo sistema impositivo.",humano,Noticia de prensa
"En el otoño de 1939, mientras Europa se sumía en el caos de la guerra, un pequeño pueblo del sur de Francia permanecía ajeno a la tormenta. Los niños seguían asistiendo a la escuela y muchos ancianos charlaban en la plaza como cada mañana. Pero la tensión era palpable en muchos gestos, en las palabras dichas entre susurros.",humano,Libro histórico
"La energía eólica ha evolucionado notablemente en las últimas décadas. Gracias a la innovación en diseño de turbinas y a las políticas públicas de fomento, muchos países han logrado cubrir una parte significativa de su demanda energética mediante fuentes renovables. España, por ejemplo, ha superado récords de producción en varios periodos recientes.",humano,Artículo científico
"Siempre me ha fascinado la forma en que muchos trenes atraviesan el paisaje. Recuerdo con cariño aquelmuchos veranos en muchos que, desde la ventana del vagón, observaba muchos campos moverse como una pintura viva. Hay algo nostálgico en ese traqueteo, en la sensación de moverse hacia el futuro mientras se deja atrás un pedazo de historia.",humano,Blog personal
"En su ensayo sobre la condición humana, la autora plantea una crítica profunda al modo en que la modernidad ha diluido muchos víncumuchos sociales. La sociedad líquida, como ella la define, privilegia lo instantáneo y deshecha con rapidez cualquier atisbo de compromiso. La reflexión se torna aún más vigente en la era de las redes sociales.",humano,Ensayo académico
"El gobierno ha anunciado una serie de reformas fiscales que entrarán en vigor el próximo año. Según el comunicado oficial, estas medidas buscan aliviar la carga sobre las pequeñas y medianas empresas. No obstante, algunos sectores han expresado dudas sobre la equidad del nuevo sistema impositivo.",humano,Noticia de prensa
"En el otoño de 1939, mientras Europa se sumía en el caos de la guerra, un pequeño pueblo del sur de Francia permanecía ajeno a la tormenta. Los niños seguían asistiendo a la escuela y los ancianos charlaban en la plaza como cada mañana. Pero la tensión era palpable en los gestos, en las palabras dichas entre susurros.",humano,Libro histórico
"La energía eólica ha evolucionado notablemente en las últimas décadas. Gracias a la innovación en diseño de turbinas y a las políticas públicas de fomento, muchos países han logrado cubrir una parte significativa de su demanda energética mediante fuentes renovables. España, por ejemplo, ha superado récords de producción en varios periodos recientes.",humano,Artículo científico
"Siempre me ha fascinado la forma en que los trenes atraviesan el paisaje. Recuerdo con cariño aquellos veranos en los que, desde la ventana del vagón, observaba los campos moverse como una pintura viva. Hay algo nostálgico en ese traqueteo, en la sensación de moverse hacia el futuro mientras se deja atrás un pedazo de historia.",humano,Blog personal
"En su ensayo sobre la condición humana, la autora plantea una crítica profunda al modo en que la modernidad ha diluido los vínculos sociales. La sociedad líquida, como ella la define, privilegia lo instantáneo y deshecha con rapidez cualquier atisbo de compromiso. La reflexión se torna aún más vigente en la era de las redes sociales.",humano,Ensayo académico
"El gobierno ha anunciado una serie de reformas fiscales que entrarán en vigor el próximo año. Según el comunicado oficial, estas medidas buscan aliviar la carga sobre las pequeñas y medianas empresas. No obstante, algunos sectores han expresado dudas sobre la equidad del nuevo sistema impositivo.",humano,Noticia de prensa
