texto,clase
La energía solar es una fuente de energía renovable que se obtiene directamente del Sol mediante la captación de su radiación.,humano
La Segunda Guerra Mundial fue un conflicto militar global que se desarrolló entre 1939 y 1945.,humano
El ajedrez es un juego de estrategia que enfrenta a dos jugadores y se juega sobre un tablero dividido en 64 casillas.,humano
"En los últimos años, la inteligencia artificial ha tenido un gran impacto en sectores como la medicina, la educación y la industria.",humano
"La historia del arte estudia la evolución del arte a lo largo del tiempo, desde las primeras manifestaciones prehistóricas hasta las expresiones contemporáneas.",humano
La inteligencia artificial representa una revolución tecnológica que transforma la manera en que interactuamos con los sistemas informáticos.,ia
El hidrógeno verde podría convertirse en una de las claves para una transición energética sostenible en el siglo XXI.,ia
"El ajedrez no es solo un juego, sino también una herramienta para ejercitar la mente y tomar decisiones bajo presión.",ia
La historia del arte ofrece una visión fascinante de cómo la humanidad ha expresado sus ideas y emociones a través de diferentes estilos y técnicas.,ia
La energía solar utiliza paneles fotovoltaicos que convierten la luz del Sol en electricidad de forma limpia y eficiente.,ia
