texto,clase
La fotosíntesis es un proceso vital en el que las plantas convierten la luz solar en energía química.,humano
Gabriel García Márquez es considerado uno de los escritores más influyentes del siglo XX.,humano
"Durante la Segunda Guerra Mundial, muchos países se aliaron para derrotar a las potencias del Eje.",humano
El sistema educativo finlandés ha sido reconocido por su enfoque centrado en el estudiante.,humano
La migración de aves en otoño es un fenómeno natural observado en distintas partes del mundo.,humano
La democracia es una forma de gobierno que se basa en la participación ciudadana.,humano
"El Renacimiento trajo consigo avances notables en arte, ciencia y pensamiento filosófico.",humano
Los ecosistemas marinos desempeñan un papel crucial en la regulación del clima global.,humano
La poesía de Antonio Machado está marcada por una profunda reflexión sobre el tiempo y la existencia.,humano
Las novelas de Jane Austen retratan la vida cotidiana y las relaciones sociales en la Inglaterra rural.,humano
La computación cuántica representa un nuevo paradigma en el procesamiento de información.,ia
Una revolución energética basada en hidrógeno podría transformar la sostenibilidad global.,ia
Los sistemas autónomos están cambiando la forma en que interactuamos con la tecnología.,ia
Una herramienta digital puede analizar emociones expresadas en texto con precisión sorprendente.,ia
La inteligencia artificial mejora la productividad empresarial mediante algoritmos adaptativos.,ia
Un asistente virtual aprende de las preferencias del usuario para ofrecer recomendaciones personalizadas.,ia
Los avances en biotecnología abren nuevas posibilidades en el tratamiento de enfermedades raras.,ia
Una red neuronal convolucional puede detectar anomalías en imágenes médicas con gran exactitud.,ia
El uso de drones para el monitoreo ambiental se ha incrementado en regiones remotas del planeta.,ia
La generación de lenguaje natural permite a las máquinas producir texto coherente y contextualizado.,ia
